session,session_start_text,session_end_text,clickouts,booking
2.01705E+13,06:11:53,06:15:11,3,0
2.01705E+13,21:06:41,21:08:23,3,0
2.01705E+13,12:03:01,12:06:02,3,0
2.01705E+13,05:58:00,06:02:56,0,0
2.01705E+13,09:13:43,09:17:01,1,0
2.01705E+13,01:27:37,01:30:23,4,0
2.01705E+13,04:17:08,04:20:22,3,0
2.01705E+13,19:33:08,19:36:37,2,1
2.01705E+13,22:22:40,22:25:20,2,0
2.01705E+13,09:00:37,09:05:37,4,0
2.01705E+13,22:41:06,22:43:15,2,0
2.01705E+13,15:59:55,16:03:02,1,0
2.01705E+13,13:17:35,13:19:38,2,0
2.01705E+13,12:28:57,12:33:26,2,0
2.01705E+13,10:36:27,10:39:35,2,1
2.01705E+13,17:01:51,17:05:20,3,1
2.01705E+13,19:33:09,19:36:11,2,0
2.01705E+13,01:24:28,01:27:05,2,0
2.01705E+13,00:31:05,00:33:41,2,0
2.01705E+13,19:46:46,19:49:39,5,0
2.01705E+13,10:23:07,10:27:11,2,0
2.01705E+13,08:38:43,08:42:20,4,0
2.01705E+13,15:07:04,15:09:58,3,0
2.01705E+13,21:13:54,21:15:41,2,0
2.01705E+13,22:16:51,22:21:15,3,0
2.01705E+13,08:26:53,08:29:57,3,0
2.01705E+13,03:20:28,03:23:16,2,0
2.01705E+13,07:34:52,07:39:44,1,0
2.01705E+13,15:01:25,15:03:47,4,0
2.01705E+13,10:46:00,10:48:40,3,0
2.01705E+13,01:33:53,01:39:00,3,0
2.01705E+13,03:30:46,03:32:35,3,0
2.01705E+13,19:05:37,19:09:14,0,0
2.01705E+13,01:55:40,01:55:40,0,0
2.01705E+13,10:33:24,10:36:34,3,0
2.01705E+13,22:17:32,22:21:54,3,1
2.01705E+13,22:40:09,22:42:47,3,0
2.01705E+13,10:21:34,10:21:47,2,0
2.01705E+13,18:34:43,18:38:07,4,1
2.01705E+13,14:36:29,14:40:01,4,0
2.01705E+13,00:09:35,00:13:12,4,0
2.01705E+13,21:15:38,21:17:25,2,0
2.01705E+13,19:09:01,19:13:01,2,1
2.01705E+13,19:03:33,19:05:10,2,0
2.01705E+13,20:43:03,20:46:33,1,0
2.01705E+13,17:05:14,17:10:26,2,0
2.01705E+13,13:48:58,13:50:04,1,1
2.01705E+13,20:57:57,21:02:31,2,0
2.01705E+13,21:31:55,21:33:22,4,0
2.01705E+13,02:11:07,02:13:53,4,0
2.01705E+13,06:46:28,06:48:35,3,0
2.01705E+13,18:34:14,18:37:40,2,1
2.01705E+13,04:27:56,04:31:19,3,0
2.01705E+13,11:41:20,11:43:20,3,0
2.01705E+13,09:28:51,09:30:33,3,0
2.01705E+13,09:55:06,09:57:27,3,0
2.01705E+13,17:11:25,17:14:57,1,0
2.01705E+13,18:46:06,18:48:53,2,0
2.01705E+13,21:52:01,21:55:24,2,1
2.01705E+13,17:23:41,17:28:15,2,0
2.01705E+13,20:46:10,20:49:56,1,0
2.01705E+13,22:40:18,22:43:52,2,0
2.01705E+13,00:53:59,00:56:46,4,0
2.01705E+13,09:45:03,09:48:05,1,0
2.01705E+13,06:00:04,06:03:16,4,0
2.01705E+13,10:19:30,10:20:51,4,0
2.01705E+13,22:08:35,22:12:18,4,0
2.01705E+13,23:14:27,23:19:28,3,0
2.01705E+13,06:46:57,06:49:45,3,0
2.01705E+13,09:26:43,09:30:22,2,1
2.01705E+13,04:04:35,04:10:02,3,0
2.01705E+13,05:34:21,05:38:09,3,0
2.01705E+13,01:24:34,01:28:25,3,0
2.01705E+13,21:11:09,21:13:16,3,0
2.01705E+13,01:14:09,01:18:41,2,0
2.01705E+13,18:50:10,18:53:33,3,0
2.01705E+13,14:46:50,14:50:36,3,0
2.01705E+13,23:15:21,23:18:10,2,0
2.01705E+13,17:00:56,17:04:21,2,0
2.01705E+13,23:06:54,23:10:07,2,0
2.01705E+13,13:36:33,13:40:14,5,0
2.01705E+13,20:55:02,20:58:20,4,0
2.01705E+13,05:26:58,05:30:52,1,0
2.01705E+13,04:08:52,04:10:52,2,1
2.01705E+13,13:33:30,13:38:47,4,0
2.01705E+13,11:38:48,11:42:18,1,0
2.01705E+13,22:57:43,23:00:21,2,0
2.01705E+13,08:47:00,08:50:30,1,0
2.01705E+13,09:09:41,09:13:03,3,0
2.01705E+13,02:45:15,02:48:49,3,0
2.01705E+13,07:27:05,07:30:23,3,0
2.01705E+13,19:39:29,19:42:54,3,0
2.01705E+13,14:50:55,14:54:36,4,0
2.01705E+13,09:13:33,09:15:25,1,0
2.01705E+13,05:19:56,05:22:18,2,0
2.01705E+13,22:16:47,22:21:14,1,0
2.01705E+13,15:22:49,15:25:28,4,0
2.01705E+13,08:47:28,08:52:03,0,1
2.01705E+13,08:32:10,08:34:29,3,0
2.01705E+13,00:00:02,00:02:12,2,0
2.01705E+13,03:55:11,03:59:28,0,1
2.01705E+13,13:14:27,13:17:56,1,0
2.01705E+13,17:16:07,17:19:08,2,1
2.01705E+13,21:44:41,21:47:25,2,0
2.01705E+13,18:35:52,18:39:34,3,0
2.01705E+13,16:07:00,16:09:36,2,0
2.01705E+13,04:54:52,04:57:34,2,0
2.01705E+13,02:48:21,02:51:06,3,0
2.01705E+13,10:42:31,10:45:05,2,0
2.01705E+13,09:25:15,09:27:26,3,0
2.01705E+13,04:59:39,05:03:59,2,0
2.01705E+13,00:00:45,00:04:19,2,1
2.01705E+13,19:51:15,19:53:44,1,0
2.01705E+13,23:47:06,23:52:07,2,0
2.01705E+13,16:55:07,16:57:55,3,1
2.01705E+13,14:50:31,14:52:56,2,0
2.01705E+13,21:14:09,21:18:04,2,0
2.01705E+13,17:48:05,17:50:46,2,1
2.01705E+13,11:51:04,11:52:55,0,0
2.01705E+13,20:44:54,20:47:21,2,0
2.01705E+13,22:10:47,22:15:46,3,0
2.01705E+13,13:10:52,13:11:50,1,0
2.01705E+13,11:31:55,11:33:21,4,0
2.01705E+13,22:48:42,22:52:09,2,1
2.01705E+13,21:31:56,21:34:15,2,0
2.01705E+13,20:34:01,20:38:00,2,0
2.01705E+13,10:17:52,10:20:06,3,0
2.01705E+13,13:09:22,13:14:07,2,1
2.01705E+13,05:59:24,06:01:40,1,0
2.01705E+13,20:44:11,20:45:56,3,0
2.01705E+13,14:06:33,14:10:50,3,0
2.01705E+13,10:53:15,10:55:07,3,0
2.01705E+13,15:15:57,15:17:38,3,0
2.01705E+13,06:59:37,07:02:23,2,0
2.01705E+13,07:37:55,07:40:52,3,0
2.01705E+13,17:48:51,17:50:39,2,0
